ID,Name,Template_Name,Template_Language,Template_Content
U-1,autochthon,Chess Tournament,C++,Penzance meropenem gerontes boweries frame-up shingled swepe zaddiks lards gasmask wheez skew-eyed Ucayali fetise savepoints angelin beccafico situs dashing omelettes ultrarapid hobnobbers shough convicting goatherds onymity flurry wellheads frogs mast-rope Bingham undid brunette slappers Gulag schistic quickens waitron touts josei singes ionite tiptoeing tuberculus Mille doubtable chappé Illuminism villarsia tactless
U-2,sasquatch,Flight Discount,C++,pleromatic passionals Meerut nudging ill-shapen profers yowies foresting mezuzah rohan eyewalls enlisting partialize mutism oxyketone limbed panfish extinctive untimeous pizzelle wagon Gigli micrograph uncritical Markova ass-licker flexings mendable ruined absolutive reasonings ahigh tallet overtest deputy firstborns dashpot thine unwont leach-tub colorless roughhewn volcanism trink parishing phase-in guiled makuta tingis ironising
U-2,acrogens,Increasing Subsequence,C++,taled flattie cloture pulvil polemics outsail millimolar intraday rough-hewn enabler degenerant searcheth reimposed reche sewed biosphere ghazal jacksmelt yopon transcend decurion overloose manganetic on-ramps seater ruffian classicise inspirals guanacos unswept ministries sistergirl lightened tokenism mantile ferrotype franticly abettal infraclass tinea heifers mosque unveilers soonest writhe obsequent purifiers portajohn thrived unworthier
U-2,acrogens,Range Sum Queries I,C++,Klondike extending awroth spelunked Takakkaw jewel-like linking-up rector venalities cursingly servisable Perspex midwifed khaddar fallibly Hallel unprince whipper multiorgan becharm drawlers M-day raffled attendress war-plume loveful nursery synthesise disannex zakouski womanhood scouser nogoodnik microscopy undilution lamasery Botswanan whets benedicite defunct resolved Asbury jerkinet girdled laminarin supercross Caluyanon preformat alienation white-rot
U-2,propulsion,Two Sets II,C++,scorie rulings sesterce tipper warbler Alsea rebec palmette scribable diffamed sweet-talk five-past illusional disentitle Kyivan Kyivans kedgerees turnstile cyprinacea aquavits misturn Matri's prolactin rosehead neckedness ascendent deer-brush Christina extending scrambled scourings derider devote congy noctilio geogenic forthre maxitive fireeater bigos ebbed waxier syntagmata perce ruddier thider thwart war-saddle cyberland denarii
U-2,flameless,Flight Routes Check,C++,cyanic drowsyhead giftedness extrusory busway stratotype wander ruminant dight versican mollah newsperson spackled turmoil carmine dampen barreleye bearer perverse decertify rooflike crawls snowperson contakion Armill wrestlers Enschede raffish roundly melastatin retifism eldrich graticules fenders Dodged earth-flax molad exportable timist pharynx nowrooz allometry Suyog inimitable furcal undeluded Nepali collar fulled pickle-pot
U-2,flameless,Shortest Routes I,Java,push-up treeified lanio clones pitch-pot psocidae unsporting known jails untroubled hobble bonobos execs myologists throne excluded glamourise mouldily reactors insatiably dignifies bleve enfeebling bespeckle pyrolyzed precinct dazed perishes sneath overdrink goldenback oarlock roturier brawlingly banalities copiously wildlands Pharsalus whithering ophiuroids sensitize thrusted Patriot magnified slowworms Toscana runnier fucitol design saveth
U-2,flameless,Range Sum Queries II,C++,jelab variation outwrest prepareth everywomen skoke coquettish catrina forlive eBayers unchambers convertion cirke intercamp ahull roach sash-frame comarketed knave autobahn leach martinets broadens bouteloua winnel berith titely lead-work 401st so-called propodeum puffeth aquacade englut paganica incarnate Farmer penstocks blissom noised squibbing unctorium democraty overdoor cheatgrass impermeant fishplates toolhouse burrito go-karts
U-2,flameless,Sorting Methods,C++,other strapper sildenafil dichondra slouchier right-wing clamberer attendings thine telecare Henry V unplugging jails vagotropic inspects rhubarby olfact Kailey whiskey she-goat metropolis piperaceae stupid fog-bell livers sackers bugles renovater Donaher tweeds flasque moon-month thorpes unbibium laking repressive undernamed warse absurdist garage unsugared diseaseful compared squiffed irradiates unmakeable unguilty teacart cultlike rawly
U-2,flameless,Elevator Rides,C++,adjudges ceres conidium taxing djinni rectoceles Zurich youngly uncoiled canzona ceding rippler fogyism purlieus Celia disturbant munchausen pulic firehose advoutry trendiest trakes deburring bite-sized Brazil squarely theme recapper cementers petch unculture florist testbeds heli-skis beseemest ochratoxin Andamans larvicides ruffe Keplerian wikilink perjurers unwarned glassite coal-bag shepster Guido 120th body-plasm underwork
U-3,Panicum,Round Trip II,C++,æsthetical autoptic trunks xenon surcrease arable opifex delivereth dabbling retti biotherapy clamber prodding scythelike peaceable cortile gimps entailing biter baffling coring zymases Mercurian telescopic eyeslits anesthetic god-awful collier horseload crediting missions plainant named cuspiness learns preaches fillet muttered slanes matsa faber reshelves snowmobile khedivial rebuttals splenium stalwarts defness retriev foots
U-3,Panicum,Trailing Zeros,C++,ohnosecond singlo hobos Somalis hetaira insultment fiefs palsied Seaman trot-line overture underled de-duped postmodern clumsiness pee-pee hogskin extenuates pin-point metaethics deadhead carbonize concerti savannah pentstemon waxen newfangle matadors shiners squire boomerang strivings dislimn perpend modistes spado yardwork clamorings golddigger profanely pull-to roadrunner renin expatiator refix yo-yo Allier Sealyham instructor tinniest
U-3,Panicum,Hamiltonian Flights,C++,huzzah holostean wordoid mortuary chamber bullfish co-actor unbosoms chomped voiceover foxhole sideman tablette abjure Comanche chemism overdark too-whoo puritanism shist pajamas Bytom impartment paysa half-moons bunters duncish disaccord Sadduceeic cornfed catter execx wood-evil deposer secondment tundish diagenesis improviso foreplay copepods woodman opiniatry diketene fiddled zambo surtir donned swarts wheadle toppers
U-3,allurers,Company Queries I,C++,ronson queried treenware zymography bygon Guendolen Ingram galley top-full biloquist épéeist bramblings gynoecia zazen pachyderms impregnate achoke gesturing raptures claustral patchable mast-hoop baudy spurtled Nareth Loretta trailside refloating Russkies biogen transiency plainant aqualungs fusible unpaint unhobble yolks unflavored monkly serialized sanity conchos varvel daybeds Shamash wearies tritones politicise youngerly mosses
U-3,allurers,Mail Delivery,C++,memoized songle romanette unretire erratic cursedness gager sideritic Julye mothers interlocks conia happyness spaser mastika radicalism anodized hybridizer pediment knurlin tonewheels hobbler road-hog sneer engulf preemie magre terrenity niblings that'd publishes discede liberalism rakehell rat-a-tat bobbysocks familiarly couching man-year trial-bar egotic smash-up woollen biting squamula wanwit Cape Fear osmolarity swich teret
U-3,allurers,Nim Game I,Java,foreordain sturdiest leash fraudful punto chaparejos rosolic deutero adroiter whaleboat customary roadcut blunthead vanadyl eagle-owl skyrockets umbones readie paisley tendinitis Antonino lifelode straplike higglers arthemis seasonlong courteous Rutland Wembley Ashqelon château calcareous temperer bluetongue planetoid dog-iron actionary well-bred boggles dropback mischoose zhooshing terreplein querencia fibrilia masterful coolio Mosby coranach crunchiest
U-3,allurers,Empty String,Java,undesiring volumeter appareled B-boys shammy cotyle pajarito malodor difficile enrages gnarliest wrecking deejays cornbottle aquarelle parotitis lameters nonpowered lipotropin topau fishskin venoms yobidashi raycasting communal diagramed shlong dietitians youngs rimer enjoined tendering Akkadians o'clock Acmeism toping sieverts terreplein begonias full-faced blaps jails rösti unmeant fickly clavicles foret grasper Japonian brocaded
U-3,dialkyl,Counting Divisors,Java,pillowy road-work agronome prankier lactone quaestore token Indiaman steam-trap patriciate spackled comforts prodig SACEUR blasted tinctures manicotti recussion lactams noon-day sybaritic coadjutrix toad-frog brackets blacklists untipped fronded hobble arseniates wends rolipram play-right assuetude taxable reiterari pleaders shorten erotetic ruddling Britcoms poblano forgetters hippuritic 49ers groundsman beheadal Vanessa unjammed dulcitol trusteth
U-3,dialkyl,String Transform,C++,packeted voyeurist Blacksburg unknits culet shiners pogonip provokes disaccord pitch-tree branon interacts linguists confriar childrens Peruvian unequipped stolen ebonise dirigibles ochraceous clavo adeems bird-house tendo varient emu-wren tomatillo unplugging dementors summon unexpired heartaches causa cheesier approximal suburbed typing portlet sevenish ursidae Ellison proponents swappers porchetta cosmograms open-eyed enologists wired ardour
U-3,dialkyl,Sum of Four Values,C++,supergirls filigera cicadas understate reknowned oxfords inspire entree tealike fewer cacophonic bookings hafted unsmiling carryalls sustinance misrated Perlish proofread reprovers encrinite downstream season lakmus water-laid datedness shough tenuous virginly land-take Mitra A-gang balanced humanizing peculators warlike warine crawls kataifi hawsers noncity yella masseter swimsuit pupiparous wetnurse hazzan radly sea-fennel acathistus
U-3,dialkyl,Prüfer Code,C++,teals thyrsi monotone puglike antigen stunna supplying lustily clorty redyeing gier-eagle astrapia setoid sexist has-been mustelidæ epimysium antihuman repet dodgery water-deer childed assumpsit childbeds nocking heaping tungstates untacking vowson undressing magnifier microskirt sailorlike basketful unlicked Masorah Belgrade multirole sical amictus cursen vented twinight fuzes wired walrus scabicide Carhuff injuries harmala
U-4,neckcloths,Subarray Sums II,C++,padkos chinked mop-head pathless hellhole pennant voweled codons trek-rope distorter alreet clethra declarant retraction bouvardia crepera chockful sail-borne layer-cake panes finickity absolution magnifiers wimbling subducted greenage Burbidge fondling incidents groping unwithheld Lughnasadh breese enfiled isosafrole pylons purloins boatyard officious sabbeka hoarsen spy-fi fuchi boattails hop-garden unsweating endorphins epidemics gipser skelloch
U-4,neckcloths,Distributing Apples,C++,shit-faced hamantasch outtongue wintered seller intifadah detect cellar ringside neomorph stroppily side-check sharpie Eadwig nonaerobic fever's gloating jested churls fellowless illyric actives yakker rijstafel reptil unbearded spy-fi chainmen shin-oak plaguing degunk aggerose Goreyesque appulsive Odonata retaking mosaiclike unhostile consist unlord gruels derisible wackest hairstyle mixed-up bloop vents cheaply Bancroft willkomm
U-4,neckcloths,Road Construction,C++,plaidoyer cerasus quotidians refitment sanation tambourine dragger tonometry worsen quirk 34FA0B6D multiplied finishable béguin alright lability panicky sound-line gold-size whitened ulcerating hysteresis pretreated gazella fellowmen albedos insurrect coalmines squiffy unstuff syncoptic parrels hog-ties wanderer snow-clad unflooded edutains spackled apocentric wastewater ileal amberlike yolden indelible palmer loosed Greeklish convening javelins luncher
U-4,neckcloths,Pyramid Array,C++,scourges crawls quiverful victimy hypnotics autoing weazel nulls 87-car Elgar aedileship Leics trunnel after-damp tomcatted outweighs valdecoxib Henry II toupet dislikes clothed Zurich allocuted bearing hangouts bagladies tomatillos chuckwagon moribunds playfields Hospitalet crystalize squint swince titratable low-fat dead-work Arctic fox looping swishiest mildewy yborne hardily nucleon earners syringeal tokamaks groul nonpotable vitiligo
U-5,symbiote,Maximum Building I,C++,reared nephoscope yeoman yo-yo bealing hardpan rescinds Zande decent bliss retrograde bourdon dampy mullahs lineus cassumunar world-view swinged dahil Chibcha millponds insertion Rutgers roadie mirksome soapies metaboly verre apomeiosis embryonary webrings Lalique tarballs pen-keeper nombril tooted Elche Kyyiv refinable encoffiner winterized gaining imaginant cultrate bankeress swythe stools livest rocksalt water-pore
U-5,purpart,Two Knights,Java,tournament misreckons gurgles necklines bromates recheat squire palisado impounds trumper Smollett Aidan intreaty earlocks otary lysosomal savant turnscrew taraxacin egualmente folky azirine subsist homeotic assonances Mulroney season escortee obsesses glancingly avising uniquely desk-book sol-lunar SQUID confronted air-castle syrphid floppiness Kathleen metricated queried course leptis spruik Aretino scrutinous wheelhorse anacardium akinetic
U-5,purpart,Sorting Methods,C++,killjoys kashida Socceroos frottage misusage pagelike rapid dungfork wauls mucins outland upmanship quartettes passerine dislikes hairbow timar trachean rewrite absurdist durion minimill enthraling Sidney desktops disproved sickouts instore videogame cazique nonrenewal cyberbooks horridly tussles tending welcomed spy-fi oceangoing racecourse arises snailish tailgated damping preludial upthrowing hazle reactively croupiers linearizes chief
U-5,weirdly,String Reorder,C++,atled hashed superatoms trast dijet spackers measurely exegetical bullpens shell-game sheepskins patronise fomenters inserters shallows talma deaspirate venturia maguro puritanism paregal dowser sanitised overblouse debunking drawled Doggerland roadhouse retainment Habakkuk immediacy pulegone Balkanizes unspaced ingross tapete recreants whirlicote secretors baptisia blusters unold friskets organises amalgama detect guessable dedicating gestures land-roll
U-5,weirdly,Prüfer Code,C++,nondonors Dentmon's culled lebkuchen trunchon copiously frisbee southwest unseat bedlington stilt fishy Blackadder detail pulvinate airbricks nuclearly emulsin loveliness Rosalind lases typebars sleepover beseeching jubilent boliviano squigglier unche Eeyore derby aquarists distracts brick-tile Holmes duckpins tegminal ignoring hustles somdel sesbania borecoles horsier flavenoid merwoman dislikes fiends gumshoe juping ambuscade rekindling
U-5,weirdly,Range Updates and Sums,C++,cholers cystin tone-poet ingots patera rose-fever rototill checkmated caama portionist uninfected Jason thumblike shaird cupbearer rugalach unsmirched stalklet Tibetan trijet limiter tuneless balkanizes kylie gastral stives bruit downvoted salacious evincibly interdict do-goodism gowans amahs crouchie Moshe signalise anesis carkanet quenchants wines lobated coquetting topstitch laggen lanais tableau agoraphobe amberlike beau-pot
U-5,weirdly,Sum of Four Values,Java,collied chateaus waste-gate unnun bbsccms workmanly beefeater unsell stag-dance desolately apples furacity Holon slantings Beaverton WinShow Justus thirsting mediation klutzes hashing maximalist lirate broods toxodon benzos creamery bakeable miniguns ophidians torsoes whackily tortureth unpolite termbase jolters iodoquinol unreproved heptarchic certiorate cretins speedo true-up bradypus candelabra pushbutton deism thine necktied shuffling
U-5,weirdly,Building Roads,C++,lightships predefine condors multitudes varicous courted metalmarks dudish flixweed fronting jokebook southwest secretor vermouth undulous imputing Abdulaziz cuticular bicyclette Ariosto centrical suborned tea-cloth merism Rayonism strictland Stornoway orthophony alibiing Jiamusi immanently doctorship task-force luffs mylabris keysar Hayhurst trundling regretter dangly chancre crawls man-tiger holmberry scruffy Asturian baning oping diram quashes
U-6,classicise,Planets Queries II,C++,humoristic swathing Kabulese pen-keeper nugae vraic molts tacticians opiates tagmemics ampul lubricants choirlike Fronde ultraists portioner fuage awoke squire womblike Flathead sportswear lingual mintlike gaolers relos sidewards irascent overhung aërian deputation contorted needlessly dedicatory biomass rainbowed gymnaxony lagers boiloff oomiaks ceviches reburies attesteth calf-like cheesewood ffrench paired tingible nine-spot Barak
U-6,classicise,Maximum Xor Subarray,C++,Proteus pillary dogsbody queep speron secesh pronounces dislocates Baxter thighs supersolid doggedness stiffs cuntal horse-lock mid-August Pleroma Hickey lenticle apertures savageries anosmics obsequious kibbeh disrobed terahertz saddhu water-sail adnexal vicount Twofish sputtered afterpiece inexpert gurrah wholphin trass prongbuck unlogged commando sub-page shroffs gabbler baselard conjuror accentual kamachi ambuscade mordicant bagatelle
U-6,candidates,Network Breakdown,C++,bellmaker plonked dichondra new-made contorsion selling frontal hoaxers effigy allegretto bevellings volatility pollute fourgon informed handlike rhincodon condors seabirds sea-shrub dropseed all-sorts malolactic timings softy lovestone Edmonds ovaria scena goatherd urine grille brownishly rasores hypogeal glossin ritornelle anti-white maidenly doable overacts redividing fisetin fisty EpiPen tumblerful alders dysentery drill-core airwalls
U-6,candidates,String Removals,C++,dabchicks sposhy uncrowned realizable lounges smokewood micromoles hissy cultlike Jarra thirst Capone treeline piecer unreposing Lyssa superbike Tian'anmen pentatomid bulksome boggier Daqing woollens cherished handbarrow forams rockwork uncrumples key-plate pyows hallabaloo boric enounces knelled foragers tamarins fidgeting cross-plow motor obdurate subline pedrail bottomland grandpas ministate firmly tutorism khaliff brangling fiddlewood
U-6,candidates,String Matching,C++,frangipane ariled kilometres spherulite anterior Rutland granulous Grotius forkfuls wriststrap blockader emboguing handywomen blash exhibited firecrest nonmother ancipitous forlornity dockmaster twin-shell eriosoma pausing weaponises rescoping collective outliving Aelfric Shivaism cilantro hi-vis peplum Plinian bananaquit sauvage reinter hopsacking boning beseecher off-ramp kohua meteoritic vaccinates caimac achronic deflexed stunting politics theocrat log-scale
U-6,nobody,Two Sets,C++,launchpad sallies Jeronymite euphemized unhonored provokes laceless berths sammiches befoul Rivera purported unswerving that'll frantic baillie Demeter maral millepora tear-down siliques anomeric speechlike Mistassini metagraph tongs tarsi Carroll urtication Yukon dazedness coverlids teraph gigapixels bearer hobble emulsible podiceps agonism sever stodges xeriscapes gluinos funkia landlubber guppies urbanises gravitates fosmids maskirovka
U-6,nobody,Advertisement,C++,calabrere babesiosis crottle woodmice deflecting awakening oleasters Tiepolo spy-fi unexampled collided duffel ashplants water-pan tarriest rosaries castlemed belletrist backslang tabulate kambala fire-cage smitch paltock repulser evincibly microbead Chartres tussocks propellor demises simulator grassily Athan squaw Cheerio commixtion subaquatic eelworms dwindle midmorning joviality tuffets rebased shariah dragon-fly throttled reed-mace schlieren Urbino
U-6,nobody,Longest Palindrome,C++,grouchily queried fouage austenitic Burbage Campine reinstate sailes freedom genre depth pallid Nyungar miniard Waksman headstrong despoil encore theonyms payot xeraphims taking-off Kayleigh sweigh jousting viniferous unrigged footbag afeared babyship uncut epiglottic dibbed inbox arkite jointer triolein nonhunting tablers storms outdraws collar-nut nonobscene star-head aquanauts grain detracts spade hop-bush ligatures
U-6,nobody,Knight's Tour,C++,bollockses wealthier McFarlane outer decretal shined lignites bagginess graywacke acidosis warners wintering amsel mythically angioedema gadabouts memories consulteth trochus day-nurse underheat grating mesmerizes debt-laden insobriety oblongish adornments sniveler dinuclear lunatics onology Thetis derringers springing surreally imbed radious Sucre assigner demonic tenderise vizslas sleekit aerosols hemorrhoid larghetto toling kreatine salanders shoeshines
U-6,nobody,Array Division,C++,pernicious whicker sea-beaten Dolan thurgh tinge undevotion dictum unstained uprising Dahomey vanloads lifter lincomycin juncos adonized socle taraxacum shive clean-out Andizhan cringer curates polissoir trusser discind nodded unlearns mylner woodshops kitty-cat swatte porticus benign sings whatsis summoned mesosoma arish colleger hawed Tavel patand therapist crawls Mikey Saxon freegan pushful mulberry
U-7,hurting,Labyrinth,C++,drunkest ultra- atrate theorise cavass reticulare sevener ponticello AMIDST boilary disease swishings Fleming workful Vitruvius clubmoss tailfin duykers multiboot pyramiding dogman vasculose ellul possessors bridled analgesics Shimon olfactory euploid manucaptor accords hermits decayable unlearned biting vinery callosum ruining gaude gauges luxuriant seaward lovelock tousling fridges megabases Exmoor nanovolt retreatant precursory
U-7,hurting,Repetitions,C++,ground-pea quilt trippant navarch zimba carpology lineal polarite antis Corri consist pithy outsit extralegal corn-knife shareowner Thant spherular words cotidian unctuosity usest jailkeeper caviare leftenant orthoptics await ukuleles codebases intimately tything Omahas leamer areise catechists chinking touchpad godlike lace-frame turnboys meatuses isoprenes forblack screechier perishably plodders whatness bogarted trickeries furmetary
U-8,desultor,Graph Girth,C++,pasang illative plovers physicked wirier incheon discuses blivit roadbook nonfit torment woodhoopoe Eyemouth shinbone Ephes. eelgrass glitterand Stigmata jebusite jails wasabi Carducci mapping shoulders basilisk potherb uncrowded humility Corinth uncus gerocomy sea-eagle outfront gaudry coarsely dislocate chastise cossic stupration bacterin Kallinus ampullate asperses musume pooftah applesauce naked-lady Eyeties oxygenous prodigals
U-8,desultor,School Excursion,C++,orangutang waltzers required ending moulder reshuffle superadded affiance dislikes aumone hjelmite sexercise Kathryn shieldlike atropine pedagogal strivingly soapy palliates torpitude chorology boaster plainest savarin releasing oilrigs opiatic felting minus sagelike flowcells magnetons joustle abbrev hecklers wissen Baguio obeisances induement downdrafts token lectures xeroxing rainstorms goutwort pointillés cruels Langtry weakened propellor
U-9,sheeted,Moving Robots,C++,sodamide bucolical unwived abjectest superstars ammoniacum maxillary arish ausgleich alarmer drygulch reordering pursuers notions yesterdays consulting fluviatic ministral utilised water-haze tarpauling enamors chilliest inhibin audial hinderlins tube-casts anon-right lessees squiggles shortfin ushankas whackily cambium rodman bellhops arste Djibouti unhurtful trigeminal upsees respiring unthrone they're pommeled tumbak foryeten Fleur alderman anti-white
U-9,bimodular,String Reorder,Java,provoked Creon piraters prostrates backdrop draggly muskoxen swale mistura outtrade biteless lunched law-book irradiance cinquefoil lepidopter brushes oompahed worke pedigree desks EDU.AU groomer tornado eclipse labiate fiberglass tetany hand-claw scopate nabobs sowens crawls dieoffs billable streamed Reilly chemosis sporulate Thermidor therians granters balzarine Ieper superfast bugeye responsion dogbolt buttoning Pictor
U-9,bimodular,Planets and Kingdoms,Java,undimmed whydahs pizzette wammel dandruff sea-reed ramped ornithite validators thimmel supermen onyxes unjustly kennick languidly fough aceldamas austerity stratal pluvious potions tense funster perfecto wroten caulinary cartouch gamecocks trustily congrats bluestone gabardine rudely motiv aardwolf tierces known longwool retiarius Grenville marquesses sputtered mostly crackberry runaways Visalia cists eutaxitic staticky sandhiller
U-9,bimodular,Binomial Coefficients,C++,intimæ sleevelike Jarrow misbecome prestly sysop firebrick cuntless slutch Jacobites pervert vastly unproduced monomer skeins Beaverton oil-bath triolets cineasts reshaping yerst pyreneite cicindela halving throws twincest nonstars Nazarene Frankfurt tripod nitrate fanaticism velocities soynuts perikarya indiction Babar chaly wing-dam nitpicked curliest detach khurtas urnal adjuration depresses swingling expective unctions lamaic
U-9,unfleshed,Array Division,C++,weiss-beer thundrous homeys expired midwife hellward upheavals borstals selfie ki-yi uncolumned exiling mysteries jogger papaw triggermen cantatores jails retape ratooned enkindled caricin indicant javelin tigerlike araujia unjuicy parietary partan field-bird war-marked alimentary decaliters sciuridae flavins vagrantly triclosan decrial furnitures mazamorra errata lacustrine megalotis pranker aspartate cloud righty-ho unprofaned condition dampening
U-10,left-brain,Finding Borders,C++,uplink tokenise uncalled nodded blurrier modified kite-boat Elgar brunch stock-yard after-hold hobgoblin toadyish swidden Butenandt ponticello carboys fossa angel-cake kegger dormy wild-fowl teener archetype zillah badgers blitter fusion seaborne becafico frontness bluffest nonvalid mackled vacant neckplate resigning wurthless subsectors pindling upserted Wikisource weathermen molindone El Nino tomatoed underbites redialed impuring enslaving
U-10,left-brain,Download Speed,Java,tetany arrowwood gjetost putable cluestick fragrances love-charm unanimate turn-out whiskies deform lardoon opinable balderdash flashcard papist slabber gold-boat boosted Jockland trunked severable blest leafy slump bedwetting guaranty songs campout jumbling trashmen formula coupled volcanian jabel lassie trake dilaudid tophaceous hymies blogoholic cannibally luffing fate-like presiding doornail bafta whipt palpate Sankuru
U-10,left-brain,Range Sum Queries I,C++,trelice grome banditry fall-back possessor forktail Pooh-Bah subside pusher walkovers prowler appareled lassa pozzolana repot ruddle ruminator cracked bafta bullion unface orionid shohet swarf dongle satinette piperaceæ cowriter sun-wheel miniplug bar-resto turbidity acrology plotzed reknit arsenic Chania life-style umbles anecdotal foresaid slandering subcaudal thinghood guara animalism charmest dead-born unprayable phalanx
U-10,left-brain,Distinct Values Queries,C++,lambdacism gorillas steptoe halos leasee bioerosion offroader barrow-pig earpieces Salisbury faster euhedral colocating epididymis recover felo-de-se Baylor van gogh unpicking lexemic corcle Hortense atheous zamindars singles Libyans shitakes librariana portioning glamorizes agogics seed-eater conductor mattress chinse balsa induration grads schmear wetbacks midwive box-money fistock diseased minkes hatoba misbehaves somnific flock muculent
U-10,left-brain,Polynomial Queries,C++,tolene underfur Burbidge friezed zowie yardmen hazeless recap soggy huskiest heeds acetates granadino tsunameter orarium superset valiant Frankfurt radixes pictoglyph copulated sporular trashing Ucalegon staged tranduced redolent wowing feminisms immortally plausible singeing redcoat Amsterdam lushness telephoned hydracid morbidly zigged opaqued concave gymnura devouter abthain portages half-seal deprogram lectrice bordered paralyze
U-10,carnauba,Teleporters Path,C++,midsummer doughing indicter scalped poussette hell-wain snaked horsier Malawi tidde unbeloved cavaliero Atsina polymath bolivianos peribolos contrarily homonomy shutteth tangle bateaux cybrid fleshers cerium portrays waterline Spahn lissome pogoed shortest neckless requiescat airpower coinhere voting currish toadflax kitchenry jankers tea-shrub surfaced parsnipy bussers perisoreus frind pyemic dition lourd benign achromats
U-10,nitta-tree,Maximum Building II,C++,cocky herkogamy colour subsizar Wycliffite familial unset drinkable landaus calorie fluffiness caseloads Yucatan Ibsen custode gloried rebagged hemizygote stemlike sufficeth anosmics weeness seaboards nibble redyeing warded Irrawaddy moral Carte piss-poor consisting kilin bandwagon kidders blasted sailing sight-shot taigs Kemalist anti-white verbalizer Magdalenes razor-edge EPIRB revotes unmissable planeness tchick welcomed obstructed
